Kecamatan,Total_Industri,Sasirangan_Murni,Ekraf_Pendukung,Total Usaha,Penetrasi_per_1000_UMKM,Location_Quotient_LQ,Persentase_Pangsa_Kota
Banjarmasin Barat,32,26,6,5608,5.706134094151213,0.6147041804880005,12.851405622489958
Banjarmasin Selatan,15,10,5,5584,2.6862464183381087,0.28938101978113023,6.024096385542169
Banjarmasin Tengah,91,79,12,5646,16.117605384342898,1.7362997864643128,36.54618473895582
Banjarmasin Timur,38,34,4,5344,7.110778443113772,0.766022172522425,15.261044176706829
Banjarmasin Utara,73,71,2,4642,15.725980180956483,1.69411121435332,29.31726907630522
